Strain_ID,Oxytetracycline,Doxycycline,Tulathromycin,Spectinomycin,Gentamicin,Tiamulin,Trimethoprim_Sulphamethoxazole,Enrofloxacin,Penicillin,Ampicillin,Amoxicillin_Clavulanic_acid,Ceftiofur,Florfenicol
Strain_0113,0,0,0,0,0,1,0,0,0,1,0,0,1
Strain_0114,0,1,0,1,0,0,0,0,0,1,0,0,1
Strain_0115,0,1,0,1,0,1,1,0,1,1,0,0,0
Strain_0116,0,0,0,0,1,1,1,0,0,1,0,1,1
Strain_0117,0,0,1,0,1,1,0,0,1,0,0,1,1
Strain_0118,0,1,1,1,0,1,1,0,0,0,1,0,1
Strain_0119,1,0,1,1,0,1,0,0,0,1,0,0,0
Strain_0120,0,0,1,0,0,1,0,0,1,1,0,0,1
Strain_0121,0,0,0,1,1,0,1,0,0,1,0,0,1
Strain_0122,0,0,1,0,1,1,0,0,0,0,0,0,1
Strain_0123,1,1,1,1,0,0,0,0,1,0,0,1,1
Strain_0124,1,0,1,1,0,1,1,0,1,0,0,1,0
Strain_0125,0,0,0,0,1,0,1,0,0,1,0,1,1
Strain_0126,0,0,1,0,1,1,0,0,0,1,1,0,1
Strain_0127,0,1,1,1,1,0,0,0,0,1,1,1,0
Strain_0128,1,0,1,0,0,1,0,1,1,1,0,1,1
Strain_0129,0,1,1,0,0,1,0,0,0,1,0,1,1
Strain_0130,1,0,1,1,1,0,0,0,0,1,0,0,1
Strain_0131,1,0,1,1,0,1,1,0,1,1,0,0,0
Strain_0132,1,0,0,0,1,1,0,0,0,1,0,1,1
Strain_0133,1,1,1,0,1,1,1,0,0,0,0,1,0
Strain_0134,0,0,1,0,0,0,0,0,0,0,0,0,0
Strain_0135,1,1,0,1,0,0,1,0,1,1,0,0,1
Strain_0136,1,0,0,0,1,0,1,0,1,0,1,0,1
Strain_0137,0,0,0,0,1,0,0,1,0,0,0,1,0
Strain_0138,1,0,0,1,1,0,0,0,0,0,1,0,1
Strain_0139,0,0,1,1,0,1,0,0,0,1,0,1,1
Strain_0140,0,1,0,1,1,1,0,0,0,1,0,0,1
Strain_0141,0,1,1,0,1,1,0,0,1,1,1,1,1
Strain_0142,0,0,0,1,0,1,0,0,0,1,0,0,1
Strain_0143,0,0,1,0,1,1,1,0,0,1,0,0,1
Strain_0144,1,0,0,0,1,0,1,1,0,0,0,0,1
Strain_0145,0,0,0,1,1,1,1,1,1,1,0,1,0
Strain_0146,0,0,1,0,1,1,0,0,1,1,0,0,0
Strain_0147,0,0,0,0,1,0,1,0,0,1,0,1,1
Strain_0148,0,0,1,0,1,1,1,0,0,1,1,0,1
Strain_0149,0,0,1,1,1,1,0,0,0,1,0,0,1
Strain_0150,0,1,1,0,0,1,0,0,0,1,1,0,0
Strain_0151,1,0,1,0,0,0,0,0,0,1,0,1,0
Strain_0152,1,1,1,1,1,1,1,0,0,0,0,0,0
Strain_0153,0,0,1,0,0,0,1,0,0,1,0,1,1
Strain_0154,0,0,1,1,0,1,1,0,1,1,0,1,1
Strain_0155,0,1,1,0,0,1,0,0,1,1,0,1,1
Strain_0156,0,0,0,0,0,1,1,0,0,0,0,1,1
Strain_0157,1,1,0,0,0,1,0,0,0,1,0,1,1
Strain_0158,0,1,1,0,0,0,1,0,0,1,0,0,0
Strain_0159,0,0,1,0,1,0,0,0,0,0,0,1,0
Strain_0160,0,1,1,0,0,0,1,0,0,0,1,0,1
Strain_0161,0,1,1,0,0,0,1,0,0,1,0,0,0
Strain_0162,0,0,1,1,0,1,0,0,0,1,0,0,1
Strain_0163,1,1,0,0,1,1,0,0,1,1,1,0,0
Strain_0164,0,1,0,0,0,1,0,1,0,1,1,0,0
Strain_0165,0,0,0,1,0,0,1,0,0,0,0,1,1
Strain_0166,0,0,1,1,1,0,0,1,1,1,0,0,0
Strain_0167,1,0,0,0,1,1,0,0,0,0,0,0,0
Strain_0168,0,0,0,1,0,1,0,0,0,1,0,0,1
Strain_0169,1,0,0,0,1,1,1,1,0,1,0,1,1
Strain_0170,0,1,1,0,0,1,1,0,0,0,0,0,1
Strain_0171,1,0,1,1,1,1,0,0,0,0,0,1,1
Strain_0172,1,0,0,1,1,1,0,0,1,1,0,0,1
Strain_0173,1,0,0,0,1,0,1,0,0,1,1,1,0
Strain_0174,1,1,0,0,1,0,1,0,0,1,0,0,1
Strain_0175,0,1,1,0,1,0,0,0,1,1,0,1,1
Strain_0176,0,1,0,0,1,1,0,0,1,0,0,1,1
Strain_0177,1,0,1,0,0,1,0,0,0,1,1,0,0
Strain_0178,0,1,1,0,0,1,0,1,0,0,1,1,0
Strain_0179,0,1,1,0,1,1,0,1,1,1,0,1,1
Strain_0180,1,1,1,0,1,0,0,0,1,0,0,0,1
Strain_0181,0,0,0,0,1,1,0,0,0,0,0,0,1
Strain_0182,0,0,1,0,1,0,1,0,1,1,0,0,1
Strain_0183,0,0,0,1,0,0,1,0,0,0,0,1,1
Strain_0184,0,0,1,1,0,1,1,0,1,0,0,1,1
Strain_0185,0,0,0,0,0,0,0,1,0,1,0,0,1
Strain_0186,0,1,1,1,0,1,0,0,1,0,0,0,1
Strain_0187,0,0,0,0,0,1,1,0,0,1,0,0,1
Strain_0188,0,0,1,1,0,1,0,0,1,0,0,0,1
Strain_0189,0,1,1,0,0,0,0,0,0,1,0,1,1
Strain_0190,0,1,0,0,1,0,0,0,0,1,0,0,1
Strain_0191,0,0,1,1,1,0,0,1,0,1,0,0,0
Strain_0192,0,0,1,0,0,1,1,0,0,1,1,0,1
Strain_0193,0,0,0,0,1,1,0,0,1,0,1,0,1
Strain_0194,1,1,1,1,1,0,0,0,1,1,0,1,1
Strain_0195,0,0,1,0,0,1,0,0,0,1,1,0,0
Strain_0196,0,1,1,0,1,0,0,0,0,1,0,0,1
Strain_0197,1,0,1,0,0,0,0,0,0,1,1,0,0
Strain_0198,0,0,1,1,0,1,0,0,0,1,0,0,1
Strain_0199,0,1,0,1,1,1,0,0,0,1,0,0,1
Strain_0200,0,0,1,0,1,1,1,1,1,1,0,0,0
