Strain_ID,All_Zeros,All_Ones,Single_Positive,Single_Negative,Nearly_Zero,Nearly_One,Perfect_Pos_A,Perfect_Pos_B,Perfect_Neg_A,Perfect_Neg_B,Moderate_50,Moderate_25,Moderate_75,Alternating
EDGE_062,0,1,0,1,0,1,0,0,1,0,0,1,1,0
EDGE_063,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_064,0,1,0,1,0,1,0,0,1,0,0,1,1,0
EDGE_065,0,1,0,1,0,1,1,1,1,0,1,0,0,1
EDGE_066,0,1,0,1,0,1,0,0,0,1,1,0,1,0
EDGE_067,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_068,0,1,0,1,0,1,1,1,0,1,0,1,1,0
EDGE_069,0,1,0,1,0,1,0,0,0,1,0,0,1,1
EDGE_070,0,1,0,1,0,1,1,1,1,0,1,0,1,0
EDGE_071,0,1,0,1,0,1,1,1,0,1,0,0,0,1
EDGE_072,0,1,0,1,0,1,0,0,0,1,0,1,1,0
EDGE_073,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_074,0,1,0,1,0,1,1,1,1,0,0,0,1,0
EDGE_075,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_076,0,1,0,1,0,1,1,1,0,1,0,0,0,0
EDGE_077,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_078,0,1,0,1,0,1,1,1,0,1,1,0,1,0
EDGE_079,0,1,0,1,0,1,1,1,1,0,0,0,1,1
EDGE_080,0,1,0,1,0,1,1,1,1,0,1,0,1,0
EDGE_081,0,1,0,1,0,1,0,0,0,1,1,0,1,1
EDGE_082,0,1,0,1,0,1,0,0,0,1,0,0,1,0
EDGE_083,0,1,0,1,0,1,1,1,0,1,1,0,1,1
EDGE_084,0,1,0,1,0,1,0,0,1,0,0,0,1,0
EDGE_085,0,1,0,1,0,1,0,0,0,1,0,0,1,1
EDGE_086,0,1,0,1,0,1,0,0,0,1,1,1,1,0
EDGE_087,0,1,0,1,0,1,1,1,0,1,0,1,0,1
EDGE_088,0,1,0,1,0,1,0,0,1,0,0,1,1,0
EDGE_089,0,1,0,1,0,1,0,0,0,1,0,0,1,1
EDGE_090,0,1,0,1,0,1,1,1,0,1,0,0,0,0
EDGE_091,0,1,0,1,0,1,1,1,0,1,0,0,0,1
EDGE_092,0,1,0,1,0,1,0,0,1,0,0,1,0,0
EDGE_093,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_094,0,1,0,1,0,1,0,0,1,0,1,0,1,0
EDGE_095,0,1,0,1,0,1,1,1,1,0,0,0,1,1
EDGE_096,0,1,0,1,0,1,0,0,0,1,1,0,1,0
EDGE_097,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_098,0,1,0,1,0,1,1,1,0,1,1,0,0,0
EDGE_099,0,1,0,1,0,1,1,1,0,1,1,0,1,1
EDGE_100,0,1,0,1,0,1,0,0,0,1,0,1,1,0
EDGE_101,0,1,0,1,0,1,0,0,1,0,1,1,1,1
EDGE_102,0,1,0,1,0,1,1,1,1,0,0,1,0,0
EDGE_103,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_104,0,1,0,1,0,1,0,0,1,0,1,1,1,0
EDGE_105,0,1,0,1,0,1,0,0,1,0,1,1,0,1
EDGE_106,0,1,0,1,0,1,1,1,1,0,0,0,1,0
EDGE_107,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_108,0,1,0,1,0,1,0,0,0,1,1,0,1,0
EDGE_109,0,1,0,1,0,1,0,0,0,1,1,1,0,1
EDGE_110,0,1,0,1,0,1,0,0,1,0,1,0,1,0
EDGE_111,0,1,0,1,0,1,0,0,1,0,1,0,0,1
EDGE_112,0,1,0,1,0,1,0,0,0,1,1,0,1,0
EDGE_113,0,1,0,1,0,1,1,1,0,1,1,1,1,1
EDGE_114,0,1,0,1,0,1,1,1,0,1,0,1,1,0
EDGE_115,0,1,0,1,0,1,1,1,0,1,0,0,0,1
EDGE_116,0,1,0,1,0,1,0,0,0,1,1,1,1,0
EDGE_117,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_118,0,1,0,1,0,1,1,1,1,0,0,0,1,0
EDGE_119,0,1,0,1,0,1,0,0,0,1,0,0,1,1
EDGE_120,0,1,0,1,0,1,0,0,0,1,0,0,1,0
EDGE_121,0,1,0,1,0,1,0,0,1,0,1,1,1,1
EDGE_122,0,1,0,1,0,1,1,1,1,0,1,0,1,0
EDGE_123,0,1,0,1,0,1,0,0,1,0,0,0,1,1
EDGE_124,0,1,0,1,0,1,0,0,0,1,0,0,1,0
EDGE_125,0,1,0,1,0,1,0,0,0,1,0,1,0,1
EDGE_126,0,1,0,1,0,1,1,1,0,1,1,0,0,0
EDGE_127,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_128,0,1,0,1,0,1,1,1,1,0,1,1,1,0
EDGE_129,0,1,0,1,0,1,0,0,0,1,1,0,1,1
EDGE_130,0,1,0,1,0,1,1,1,0,1,0,0,1,0
EDGE_131,0,1,0,1,0,1,0,0,0,1,1,1,1,1
EDGE_132,0,1,0,1,0,1,1,1,0,1,0,0,1,0
EDGE_133,0,1,0,1,0,1,1,1,1,0,1,0,0,1
EDGE_134,0,1,0,1,0,1,0,0,0,1,0,0,1,0
EDGE_135,0,1,0,1,0,1,1,1,1,0,0,0,0,1
EDGE_136,0,1,0,1,0,1,0,0,0,1,0,0,1,0
EDGE_137,0,1,0,1,0,1,1,1,0,1,0,1,1,1
EDGE_138,0,1,0,1,0,1,0,0,0,1,0,0,1,0
EDGE_139,0,1,0,1,0,1,1,1,0,1,0,0,1,1
EDGE_140,0,1,0,1,0,1,0,0,0,1,1,0,1,0
EDGE_141,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_142,0,1,0,1,0,1,1,1,0,1,1,0,0,0
EDGE_143,0,1,0,1,0,1,0,0,0,1,0,0,0,1
EDGE_144,0,1,0,1,0,1,0,0,0,1,0,0,1,0
EDGE_145,0,1,0,1,0,1,0,0,1,0,0,0,1,1
EDGE_146,0,1,0,1,0,1,1,1,1,0,0,0,1,0
EDGE_147,0,1,0,1,0,1,0,0,1,0,1,1,1,1
EDGE_148,0,1,0,1,0,1,0,0,1,0,1,0,0,0
EDGE_149,0,1,0,1,0,1,0,0,0,1,1,0,1,1
EDGE_150,0,1,0,1,0,1,0,0,1,0,1,0,1,0
EDGE_151,0,1,0,1,0,1,1,1,0,1,1,1,0,1
EDGE_152,0,1,0,1,0,1,1,1,0,1,1,0,1,0
EDGE_153,0,1,0,1,0,1,1,1,1,0,0,1,0,1
EDGE_154,0,1,0,1,0,1,1,1,1,0,1,0,0,0
EDGE_155,0,1,0,1,0,1,0,0,0,1,1,0,1,1
EDGE_156,0,1,0,1,0,1,0,0,0,1,1,0,1,0
EDGE_157,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_158,0,1,0,1,0,1,1,1,1,0,1,0,1,0
EDGE_159,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_160,0,1,0,1,0,1,0,0,0,1,1,1,1,0
EDGE_161,0,1,0,1,0,1,1,1,1,0,0,1,1,1
EDGE_162,0,1,0,1,0,1,0,0,0,1,0,1,0,0
EDGE_163,0,1,0,1,0,1,1,1,1,0,0,0,0,1
EDGE_164,0,1,0,1,0,1,1,1,1,0,0,0,1,0
EDGE_165,0,1,0,1,0,1,0,0,0,1,0,0,1,1
EDGE_166,0,1,0,1,0,1,1,1,1,0,0,0,1,0
EDGE_167,0,1,0,1,0,1,1,1,0,1,1,1,1,1
EDGE_168,0,1,0,1,0,1,0,0,1,0,0,0,1,0
EDGE_169,0,1,0,1,0,1,1,1,0,1,1,0,1,1
EDGE_170,0,1,0,1,0,1,1,1,0,1,1,0,1,0
EDGE_171,0,1,0,1,0,1,1,1,0,1,1,0,1,1
EDGE_172,0,1,0,1,0,1,0,0,1,0,0,0,0,0
EDGE_173,0,1,0,1,0,1,1,1,1,0,1,0,0,1
EDGE_174,0,1,0,1,0,1,1,1,1,0,1,0,0,0
EDGE_175,0,1,0,1,0,1,0,0,0,1,1,0,0,1
EDGE_176,0,1,0,1,0,1,1,1,1,0,0,0,1,0
EDGE_177,0,1,0,1,0,1,1,1,0,1,0,0,1,1
EDGE_178,0,1,0,1,0,1,0,0,1,0,1,0,1,0
EDGE_179,0,1,0,1,0,1,1,1,0,1,0,0,1,1
EDGE_180,0,1,0,1,0,1,1,1,1,0,0,0,0,0
EDGE_181,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_182,0,1,0,1,0,1,1,1,1,0,0,0,1,0
EDGE_183,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_184,0,1,0,1,0,1,0,0,1,0,1,0,1,0
EDGE_185,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_186,0,1,0,1,0,1,1,1,0,1,1,0,0,0
EDGE_187,0,1,0,1,0,1,1,1,1,0,1,0,1,1
EDGE_188,0,1,0,1,0,1,0,0,0,1,1,0,1,0
EDGE_189,0,1,0,1,0,1,0,0,0,1,0,0,1,1
EDGE_190,0,1,0,1,0,1,0,0,1,0,0,0,1,0
EDGE_191,0,1,0,1,0,1,0,0,1,0,0,1,1,1
EDGE_192,0,1,0,1,0,1,1,1,0,1,0,0,1,0
EDGE_193,0,1,0,1,0,1,0,0,0,1,1,0,1,1
EDGE_194,0,1,0,1,0,1,1,1,1,0,1,0,1,0
EDGE_195,0,1,0,1,0,1,0,0,1,0,1,0,1,1
EDGE_196,0,1,0,1,0,1,1,1,0,1,0,0,1,0
EDGE_197,0,1,0,1,0,1,1,1,1,0,0,0,1,1
EDGE_198,0,1,0,1,0,1,0,0,0,1,1,0,1,0
EDGE_199,0,1,0,1,0,1,0,0,1,0,1,0,1,1
