Strain_ID,Virulence_01,Virulence_02,Virulence_03,Virulence_04,Virulence_05,Virulence_06,Virulence_07,Virulence_08,Virulence_09,Virulence_10,Virulence_11,Virulence_12,Virulence_13,Virulence_14,Virulence_15,Virulence_16,Virulence_17,Virulence_18,Virulence_19,Virulence_20
Strain_0082,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Strain_0083,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0084,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Strain_0085,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Strain_0086,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Strain_0087,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Strain_0088,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0
Strain_0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Strain_0090,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Strain_0091,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Strain_0092,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Strain_0093,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Strain_0094,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Strain_0095,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
Strain_0096,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
Strain_0097,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Strain_0098,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Strain_0099,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0102,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strain_0103,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Strain_0104,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
Strain_0105,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Strain_0106,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Strain_0107,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_0108,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Strain_0109,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Strain_0111,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Strain_0112,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Strain_0113,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Strain_0114,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Strain_0115,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Strain_0116,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Strain_0117,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Strain_0118,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
Strain_0119,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
Strain_0120,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
Strain_0121,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Strain_0122,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Strain_0123,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
Strain_0124,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Strain_0125,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
Strain_0126,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strain_0128,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Strain_0129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Strain_0130,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Strain_0131,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Strain_0132,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
Strain_0133,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0134,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
Strain_0135,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Strain_0136,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
Strain_0137,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Strain_0138,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_0139,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strain_0140,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Strain_0141,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0142,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Strain_0143,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Strain_0144,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Strain_0145,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strain_0146,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_0147,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Strain_0148,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_0149,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
Strain_0150,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Strain_0151,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Strain_0152,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Strain_0153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Strain_0154,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
Strain_0155,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0
Strain_0156,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Strain_0157,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Strain_0158,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Strain_0159,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
Strain_0160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Strain_0161,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0
Strain_0162,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Strain_0163,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
Strain_0164,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0165,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
Strain_0166,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strain_0167,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strain_0168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Strain_0170,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1
Strain_0171,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Strain_0172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Strain_0173,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Strain_0174,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
Strain_0175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Strain_0176,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Strain_0177,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Strain_0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Strain_0179,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0180,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Strain_0182,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_0183,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Strain_0184,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Strain_0185,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Strain_0186,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Strain_0187,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0188,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Strain_0189,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Strain_0190,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Strain_0191,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Strain_0192,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Strain_0193,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1
Strain_0194,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Strain_0195,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Strain_0196,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
Strain_0197,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Strain_0198,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Strain_0199,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Strain_0200,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
